"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка логина с негативными данными","6292","Проверка логина с негативными данными","Surefire suite","Wed Oct 08 14:56:05 UTC 2025","passed","Wed Oct 08 14:56:11 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Проверка перехода на страницу создания тест-кейса","30158","Проверка перехода на страницу создания тест-кейса","Surefire suite","Wed Oct 08 14:55:03 UTC 2025","passed","Wed Oct 08 14:55:34 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkOpenPageCreateTestCase"
"Получение всех проектов","553","Получение всех проектов","Surefire suite","Wed Oct 08 14:52:59 UTC 2025","passed","Wed Oct 08 14:53:00 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkGetProject"
"Проверка удаления тест-кейса","13896","Проверка удаления тест-кейса","Surefire suite","Wed Oct 08 14:53:24 UTC 2025","passed","Wed Oct 08 14:53:38 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkDeleteCase"
"Проверка сообщения о создании тест-кейса","12991","Проверка сообщения о создании тест-кейса","Surefire suite","Wed Oct 08 14:53:38 UTC 2025","passed","Wed Oct 08 14:53:51 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkVerificationMessage"
"Создание проекта","1906","Создание проекта","Surefire suite","Wed Oct 08 14:52:57 UTC 2025","passed","Wed Oct 08 14:52:59 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProject"
"Проверка входа с валидными логином/паролем","9459","Проверка входа с валидными логином/паролем","Surefire suite","Wed Oct 08 14:55:48 UTC 2025","passed","Wed Oct 08 14:55:58 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthPositive"
"Проверка логина с негативными данными","6958","Проверка логина с негативными данными","Surefire suite","Wed Oct 08 14:55:58 UTC 2025","passed","Wed Oct 08 14:56:05 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Проверка удаления созданного проекта","34971","Проверка удаления созданного проекта","Surefire suite","Wed Oct 08 14:54:18 UTC 2025","passed","Wed Oct 08 14:54:53 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeleteProject"
"","14335","Проверка создания нового проекта","Surefire suite","Wed Oct 08 14:54:03 UTC 2025","passed","Wed Oct 08 14:54:17 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Создание нового проекта без названия","9382","Создание нового проекта без названия","Surefire suite","Wed Oct 08 14:54:53 UTC 2025","failed","Wed Oct 08 14:55:02 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkNewProjectWithoutTitle"
"Проверка входа с пустым паролем","6753","Проверка входа с пустым паролем","Surefire suite","Wed Oct 08 14:55:41 UTC 2025","passed","Wed Oct 08 14:55:48 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegativeNullPassword"
"Проверка входа с с невалидным логином и паролем","7164","Проверка входа с с невалидным логином и паролем","Surefire suite","Wed Oct 08 14:55:34 UTC 2025","passed","Wed Oct 08 14:55:41 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegative"
"Создание теста в действующем проекте","23679","Создание теста в действующем проекте","Surefire suite","Wed Oct 08 14:53:00 UTC 2025","passed","Wed Oct 08 14:53:24 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Изменение тест-кейса","11232","Изменение тест-кейса","Surefire suite","Wed Oct 08 14:53:52 UTC 2025","passed","Wed Oct 08 14:54:03 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkEditCase"
"","176","getProjectsTest","Surefire suite","Wed Oct 08 14:53:00 UTC 2025","passed","Wed Oct 08 14:53:00 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","getProjectsTest"
