"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка перехода на страницу создания тест-кейса","14287","Проверка перехода на страницу создания тест-кейса","Surefire suite","Thu Oct 09 09:41:51 UTC 2025","passed","Thu Oct 09 09:42:06 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkOpenPageCreateTestCase"
"Создание нового проекта без названия","18456","Создание нового проекта без названия","Surefire suite","Thu Oct 09 09:41:32 UTC 2025","passed","Thu Oct 09 09:41:50 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkNewProjectWithoutTitle"
"Проверка на обязательное поле 'Title'","2326","Проверка на обязательное поле 'Title'","Surefire suite","Thu Oct 09 09:39:57 UTC 2025","passed","Thu Oct 09 09:40:00 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","checkCreateCaseNullTitle"
"Проверка логина с негативными данными","6923","Проверка логина с негативными данными","Surefire suite","Thu Oct 09 09:42:31 UTC 2025","passed","Thu Oct 09 09:42:38 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Получение всех проектов","2381","Получение всех проектов","Surefire suite","Thu Oct 09 09:40:05 UTC 2025","passed","Thu Oct 09 09:40:07 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkGetProject"
"Создание тест-кейса, позитивный тест","5534","Создание тест-кейса, позитивный тест","Surefire suite","Thu Oct 09 09:39:51 UTC 2025","passed","Thu Oct 09 09:39:56 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","checkCreateCase"
"","210","getProjectsTest","Surefire suite","Thu Oct 09 09:40:07 UTC 2025","passed","Thu Oct 09 09:40:07 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","getProjectsTest"
"Создание теста в действующем проекте","19854","Создание теста в действующем проекте","Surefire suite","Thu Oct 09 09:40:08 UTC 2025","passed","Thu Oct 09 09:40:27 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка логина с негативными данными","6479","Проверка логина с негативными данными","Surefire suite","Thu Oct 09 09:42:38 UTC 2025","passed","Thu Oct 09 09:42:45 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"","10868","Проверка создания нового проекта","Surefire suite","Thu Oct 09 09:41:05 UTC 2025","passed","Thu Oct 09 09:41:16 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка удаления созданного проекта","15166","Проверка удаления созданного проекта","Surefire suite","Thu Oct 09 09:41:16 UTC 2025","passed","Thu Oct 09 09:41:32 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeleteProject"
"Проверка входа с валидными логином/паролем","9591","Проверка входа с валидными логином/паролем","Surefire suite","Thu Oct 09 09:42:21 UTC 2025","passed","Thu Oct 09 09:42:31 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthPositive"
"Проверка входа с пустым паролем","6981","Проверка входа с пустым паролем","Surefire suite","Thu Oct 09 09:42:14 UTC 2025","passed","Thu Oct 09 09:42:21 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegativeNullPassword"
"Создание кейса, невалидные данные","1096","Создание кейса, невалидные данные","Surefire suite","Thu Oct 09 09:39:56 UTC 2025","passed","Thu Oct 09 09:39:57 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","checkCreateCaseNegative"
"Проверка удаления тест-кейса","11500","Проверка удаления тест-кейса","Surefire suite","Thu Oct 09 09:40:28 UTC 2025","passed","Thu Oct 09 09:40:39 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkDeleteCase"
"Создание проекта","4064","Создание проекта","Surefire suite","Thu Oct 09 09:40:01 UTC 2025","passed","Thu Oct 09 09:40:05 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProject"
"Изменение тест-кейса","11669","Изменение тест-кейса","Surefire suite","Thu Oct 09 09:40:53 UTC 2025","passed","Thu Oct 09 09:41:05 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkEditCase"
"Проверка входа с с невалидным логином и паролем","7567","Проверка входа с с невалидным логином и паролем","Surefire suite","Thu Oct 09 09:42:06 UTC 2025","passed","Thu Oct 09 09:42:13 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegative"
"Удаление тест-кейса","1107","Удаление тест-кейса","Surefire suite","Thu Oct 09 09:40:00 UTC 2025","failed","Thu Oct 09 09:40:01 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","checkDeleteCase"
"Проверка сообщения о создании тест-кейса","13148","Проверка сообщения о создании тест-кейса","Surefire suite","Thu Oct 09 09:40:40 UTC 2025","passed","Thu Oct 09 09:40:53 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkVerificationMessage"
