"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Получение всех проектов","530","Получение всех проектов","Surefire suite","Fri Oct 10 10:15:57 UTC 2025","passed","Fri Oct 10 10:15:58 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkGetProject"
"Проверка логина с негативными данными","6302","Проверка логина с негативными данными","Surefire suite","Fri Oct 10 10:18:12 UTC 2025","passed","Fri Oct 10 10:18:18 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Проверка на обязательное поле 'Title'","167","Проверка на обязательное поле 'Title'","Surefire suite","Fri Oct 10 10:15:56 UTC 2025","passed","Fri Oct 10 10:15:56 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","checkCreateCaseNullTitle"
"Создание тест-кейса, позитивный тест","1736","Создание тест-кейса, позитивный тест","Surefire suite","Fri Oct 10 10:15:54 UTC 2025","passed","Fri Oct 10 10:15:55 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","checkCreateCase"
"Проверка входа с с невалидным логином и паролем","6742","Проверка входа с с невалидным логином и паролем","Surefire suite","Fri Oct 10 10:17:42 UTC 2025","passed","Fri Oct 10 10:17:49 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegative"
"Проверка сообщения о создании тест-кейса","13595","Проверка сообщения о создании тест-кейса","Surefire suite","Fri Oct 10 10:16:30 UTC 2025","passed","Fri Oct 10 10:16:43 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkVerificationMessage"
"Проверка удаления созданного проекта","12635","Проверка удаления созданного проекта","Surefire suite","Fri Oct 10 10:17:07 UTC 2025","passed","Fri Oct 10 10:17:19 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeleteProject"
"Проверка перехода на страницу создания тест-кейса","12297","Проверка перехода на страницу создания тест-кейса","Surefire suite","Fri Oct 10 10:17:30 UTC 2025","passed","Fri Oct 10 10:17:42 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkOpenPageCreateTestCase"
"","170","getProjectsTest","Surefire suite","Fri Oct 10 10:15:58 UTC 2025","passed","Fri Oct 10 10:15:58 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","getProjectsTest"
"Создание нового проекта без названия","9885","Создание нового проекта без названия","Surefire suite","Fri Oct 10 10:17:20 UTC 2025","passed","Fri Oct 10 10:17:29 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkNewProjectWithoutTitle"
"Удаление тест-кейса","177","Удаление тест-кейса","Surefire suite","Fri Oct 10 10:15:56 UTC 2025","failed","Fri Oct 10 10:15:57 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","checkDeleteCase"
"Создание проекта","550","Создание проекта","Surefire suite","Fri Oct 10 10:15:57 UTC 2025","passed","Fri Oct 10 10:15:57 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProject"
"Создание кейса, невалидные данные","831","Создание кейса, невалидные данные","Surefire suite","Fri Oct 10 10:15:55 UTC 2025","passed","Fri Oct 10 10:15:56 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","checkCreateCaseNegative"
"","11373","Проверка создания нового проекта","Surefire suite","Fri Oct 10 10:16:55 UTC 2025","passed","Fri Oct 10 10:17:06 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Изменение тест-кейса","11099","Изменение тест-кейса","Surefire suite","Fri Oct 10 10:16:44 UTC 2025","passed","Fri Oct 10 10:16:55 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkEditCase"
"Проверка входа с валидными логином/паролем","8825","Проверка входа с валидными логином/паролем","Surefire suite","Fri Oct 10 10:17:56 UTC 2025","passed","Fri Oct 10 10:18:05 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthPositive"
"Проверка логина с негативными данными","6253","Проверка логина с негативными данными","Surefire suite","Fri Oct 10 10:18:05 UTC 2025","passed","Fri Oct 10 10:18:11 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Проверка входа с пустым паролем","6595","Проверка входа с пустым паролем","Surefire suite","Fri Oct 10 10:17:49 UTC 2025","passed","Fri Oct 10 10:17:56 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegativeNullPassword"
"Проверка удаления тест-кейса","11258","Проверка удаления тест-кейса","Surefire suite","Fri Oct 10 10:16:18 UTC 2025","passed","Fri Oct 10 10:16:30 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkDeleteCase"
"Создание теста в действующем проекте","19778","Создание теста в действующем проекте","Surefire suite","Fri Oct 10 10:15:58 UTC 2025","passed","Fri Oct 10 10:16:18 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
