"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа с с невалидным логином и паролем","1","Проверка входа с с невалидным логином и паролем","Surefire suite","Wed Oct 08 12:53:38 UTC 2025","skipped","Wed Oct 08 12:53:38 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegative"
"","0","Настройка браузера","Surefire suite","Wed Oct 08 12:53:38 UTC 2025","failed","Wed Oct 08 12:53:38 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","setUp"
"Создание проекта","1545","Создание проекта","Surefire suite","Wed Oct 08 12:53:34 UTC 2025","failed","Wed Oct 08 12:53:36 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProject"
"Проверка логина с негативными данными","0","Проверка логина с негативными данными","Surefire suite","Wed Oct 08 12:53:38 UTC 2025","skipped","Wed Oct 08 12:53:38 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Проверка перехода на страницу создания тест-кейса","0","Проверка перехода на страницу создания тест-кейса","Surefire suite","Wed Oct 08 12:53:38 UTC 2025","skipped","Wed Oct 08 12:53:38 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkOpenPageCreateTestCase"
"Проверка сообщения о создании тест-кейса","8","Проверка сообщения о создании тест-кейса","Surefire suite","Wed Oct 08 12:53:37 UTC 2025","skipped","Wed Oct 08 12:53:37 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkVerificationMessage"
"","237","getProjectsTest","Surefire suite","Wed Oct 08 12:53:36 UTC 2025","failed","Wed Oct 08 12:53:36 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","getProjectsTest"
"Изменение тест-кейса","1","Изменение тест-кейса","Surefire suite","Wed Oct 08 12:53:37 UTC 2025","skipped","Wed Oct 08 12:53:37 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkEditCase"
"Проверка логина с негативными данными","0","Проверка логина с негативными данными","Surefire suite","Wed Oct 08 12:53:39 UTC 2025","skipped","Wed Oct 08 12:53:39 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Проверка входа с пустым паролем","0","Проверка входа с пустым паролем","Surefire suite","Wed Oct 08 12:53:38 UTC 2025","skipped","Wed Oct 08 12:53:38 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegativeNullPassword"
"","0","Проверка создания нового проекта","Surefire suite","Wed Oct 08 12:53:37 UTC 2025","skipped","Wed Oct 08 12:53:37 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка входа с валидными логином/паролем","0","Проверка входа с валидными логином/паролем","Surefire suite","Wed Oct 08 12:53:38 UTC 2025","skipped","Wed Oct 08 12:53:38 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthPositive"
"Создание нового проекта без названия","0","Создание нового проекта без названия","Surefire suite","Wed Oct 08 12:53:37 UTC 2025","skipped","Wed Oct 08 12:53:37 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkNewProjectWithoutTitle"
"Проверка удаления тест-кейса","0","Проверка удаления тест-кейса","Surefire suite","Wed Oct 08 12:53:36 UTC 2025","skipped","Wed Oct 08 12:53:36 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkDeleteCase"
"Создание теста в действующем проекте","0","Создание теста в действующем проекте","Surefire suite","Wed Oct 08 12:53:36 UTC 2025","skipped","Wed Oct 08 12:53:36 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","1","Настройка браузера","Surefire suite","Wed Oct 08 12:53:37 UTC 2025","failed","Wed Oct 08 12:53:37 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","setUp"
"","0","Настройка браузера","Surefire suite","Wed Oct 08 12:53:39 UTC 2025","failed","Wed Oct 08 12:53:39 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","setUp"
"Получение всех проектов","198","Получение всех проектов","Surefire suite","Wed Oct 08 12:53:36 UTC 2025","failed","Wed Oct 08 12:53:36 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkGetProject"
"Проверка удаления созданного проекта","0","Проверка удаления созданного проекта","Surefire suite","Wed Oct 08 12:53:37 UTC 2025","skipped","Wed Oct 08 12:53:37 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeleteProject"
