"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создание кейса, невалидные данные","1887","Создание кейса, невалидные данные","Surefire suite","Thu Oct 09 10:06:03 UTC 2025","passed","Thu Oct 09 10:06:05 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","checkCreateCaseNegative"
"Проверка логина с негативными данными","6839","Проверка логина с негативными данными","Surefire suite","Thu Oct 09 10:09:17 UTC 2025","passed","Thu Oct 09 10:09:24 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Проверка сообщения о создании тест-кейса","14397","Проверка сообщения о создании тест-кейса","Surefire suite","Thu Oct 09 10:07:17 UTC 2025","passed","Thu Oct 09 10:07:32 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkVerificationMessage"
"Проверка удаления созданного проекта","17437","Проверка удаления созданного проекта","Surefire suite","Thu Oct 09 10:08:00 UTC 2025","passed","Thu Oct 09 10:08:17 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeleteProject"
"Проверка входа с с невалидным логином и паролем","7769","Проверка входа с с невалидным логином и паролем","Surefire suite","Thu Oct 09 10:08:44 UTC 2025","passed","Thu Oct 09 10:08:52 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegative"
"Создание теста в действующем проекте","27646","Создание теста в действующем проекте","Surefire suite","Thu Oct 09 10:06:13 UTC 2025","passed","Thu Oct 09 10:06:41 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Удаление тест-кейса","3732","Удаление тест-кейса","Surefire suite","Thu Oct 09 10:06:06 UTC 2025","passed","Thu Oct 09 10:06:10 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","checkDeleteCase"
"Создание нового проекта без названия","11002","Создание нового проекта без названия","Surefire suite","Thu Oct 09 10:08:18 UTC 2025","passed","Thu Oct 09 10:08:29 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkNewProjectWithoutTitle"
"","14753","Проверка создания нового проекта","Surefire suite","Thu Oct 09 10:07:44 UTC 2025","passed","Thu Oct 09 10:07:59 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка на обязательное поле 'Title'","1377","Проверка на обязательное поле 'Title'","Surefire suite","Thu Oct 09 10:06:05 UTC 2025","passed","Thu Oct 09 10:06:06 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","checkCreateCaseNullTitle"
"Проверка удаления тест-кейса","13199","Проверка удаления тест-кейса","Surefire suite","Thu Oct 09 10:07:04 UTC 2025","passed","Thu Oct 09 10:07:17 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkDeleteCase"
"Создание проекта","1314","Создание проекта","Surefire suite","Thu Oct 09 10:06:10 UTC 2025","passed","Thu Oct 09 10:06:11 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProject"
"Проверка перехода на страницу создания тест-кейса","14655","Проверка перехода на страницу создания тест-кейса","Surefire suite","Thu Oct 09 10:08:29 UTC 2025","passed","Thu Oct 09 10:08:44 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkOpenPageCreateTestCase"
"Проверка входа с пустым паролем","7049","Проверка входа с пустым паролем","Surefire suite","Thu Oct 09 10:08:52 UTC 2025","passed","Thu Oct 09 10:08:59 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegativeNullPassword"
"Изменение тест-кейса","11918","Изменение тест-кейса","Surefire suite","Thu Oct 09 10:07:32 UTC 2025","passed","Thu Oct 09 10:07:44 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkEditCase"
"Создание тест-кейса, позитивный тест","2880","Создание тест-кейса, позитивный тест","Surefire suite","Thu Oct 09 10:06:00 UTC 2025","passed","Thu Oct 09 10:06:03 UTC 2025","tests.api.CaseTest","Surefire test","tests.api.CaseTest","checkCreateCase"
"Проверка логина с негативными данными","6903","Проверка логина с негативными данными","Surefire suite","Thu Oct 09 10:09:10 UTC 2025","passed","Thu Oct 09 10:09:17 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Получение всех проектов","1099","Получение всех проектов","Surefire suite","Thu Oct 09 10:06:11 UTC 2025","passed","Thu Oct 09 10:06:12 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkGetProject"
"","350","getProjectsTest","Surefire suite","Thu Oct 09 10:06:12 UTC 2025","passed","Thu Oct 09 10:06:13 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","getProjectsTest"
"Проверка входа с валидными логином/паролем","9711","Проверка входа с валидными логином/паролем","Surefire suite","Thu Oct 09 10:09:00 UTC 2025","passed","Thu Oct 09 10:09:09 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthPositive"
