"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка удаления созданного проекта","22144","Проверка удаления созданного проекта","Surefire suite","Tue Oct 07 06:54:37 UTC 2025","failed","Tue Oct 07 06:54:59 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeleteProject"
"Создание теста в действующем проекте","31987","Создание теста в действующем проекте","Surefire suite","Tue Oct 07 06:52:58 UTC 2025","failed","Tue Oct 07 06:53:30 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка входа с валидными логином/паролем","22263","Проверка входа с валидными логином/паролем","Surefire suite","Tue Oct 07 06:55:48 UTC 2025","failed","Tue Oct 07 06:56:10 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthPositive"
"Создание проекта","1337","Создание проекта","Surefire suite","Tue Oct 07 06:52:56 UTC 2025","failed","Tue Oct 07 06:52:58 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProject"
"Изменение тест-кейса","22090","Изменение тест-кейса","Surefire suite","Tue Oct 07 06:53:52 UTC 2025","failed","Tue Oct 07 06:54:15 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkEditCase"
"Проверка логина с негативными данными","1825","Проверка логина с негативными данными","Surefire suite","Tue Oct 07 06:56:10 UTC 2025","passed","Tue Oct 07 06:56:12 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Проверка удаления тест-кейса","0","Проверка удаления тест-кейса","Surefire suite","Tue Oct 07 06:53:30 UTC 2025","skipped","Tue Oct 07 06:53:30 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkDeleteCase"
"Проверка входа с с невалидным логином и паролем","2271","Проверка входа с с невалидным логином и паролем","Surefire suite","Tue Oct 07 06:55:44 UTC 2025","passed","Tue Oct 07 06:55:46 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegative"
"","22128","Проверка создания нового проекта","Surefire suite","Tue Oct 07 06:54:15 UTC 2025","failed","Tue Oct 07 06:54:37 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка перехода на страницу создания тест-кейса","22233","Проверка перехода на страницу создания тест-кейса","Surefire suite","Tue Oct 07 06:55:21 UTC 2025","failed","Tue Oct 07 06:55:44 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkOpenPageCreateTestCase"
"Создание нового проекта без названия","22134","Создание нового проекта без названия","Surefire suite","Tue Oct 07 06:54:59 UTC 2025","failed","Tue Oct 07 06:55:21 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkNewProjectWithoutTitle"
"Проверка логина с негативными данными","1791","Проверка логина с негативными данными","Surefire suite","Tue Oct 07 06:56:12 UTC 2025","passed","Tue Oct 07 06:56:14 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Проверка входа с пустым паролем","1857","Проверка входа с пустым паролем","Surefire suite","Tue Oct 07 06:55:46 UTC 2025","passed","Tue Oct 07 06:55:48 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegativeNullPassword"
"Проверка сообщения о создании тест-кейса","22111","Проверка сообщения о создании тест-кейса","Surefire suite","Tue Oct 07 06:53:30 UTC 2025","failed","Tue Oct 07 06:53:52 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkVerificationMessage"
