"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка удаления тест-кейса","11355","Проверка удаления тест-кейса","Surefire suite","Mon Oct 06 15:09:12 UTC 2025","passed","Mon Oct 06 15:09:24 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkDeleteCase"
"","4214","checkAuthPositive","Surefire suite","Mon Oct 06 15:11:31 UTC 2025","passed","Mon Oct 06 15:11:35 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthPositive"
"","1","checkCreateProject","Surefire suite","Mon Oct 06 15:08:41 UTC 2025","skipped","Mon Oct 06 15:08:41 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProject"
"Проверка входа с с невалидным логином и паролем","2406","Проверка входа с с невалидным логином и паролем","Surefire suite","Mon Oct 06 15:11:27 UTC 2025","passed","Mon Oct 06 15:11:29 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegative"
"","2","initAPIAdapter","Surefire suite","Mon Oct 06 15:08:41 UTC 2025","broken","Mon Oct 06 15:08:41 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","initAPIAdapter"
"","24316","test4","Surefire suite","Mon Oct 06 15:11:02 UTC 2025","failed","Mon Oct 06 15:11:27 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","test4"
"","1946","Проверка входа с пустым паролем","Surefire suite","Mon Oct 06 15:11:29 UTC 2025","passed","Mon Oct 06 15:11:31 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegativeNullPassword"
"","25471","checkOpenPageCreateTestCase","Surefire suite","Mon Oct 06 15:10:37 UTC 2025","failed","Mon Oct 06 15:11:02 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkOpenPageCreateTestCase"
"","26542","checkDeleteProject","Surefire suite","Mon Oct 06 15:09:45 UTC 2025","failed","Mon Oct 06 15:10:12 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeleteProject"
"Проверка логина с негативными данными","1715","Проверка логина с негативными данными","Surefire suite","Mon Oct 06 15:11:37 UTC 2025","passed","Mon Oct 06 15:11:39 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Проверка логина с негативными данными","1846","Проверка логина с негативными данными","Surefire suite","Mon Oct 06 15:11:36 UTC 2025","passed","Mon Oct 06 15:11:37 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Проверка сообщения о создании тест-кейса","16284","Проверка сообщения о создании тест-кейса","Surefire suite","Mon Oct 06 15:09:24 UTC 2025","passed","Mon Oct 06 15:09:40 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkVerificationMessage"
"","30135","Создание теста в действующем проекте","Surefire suite","Mon Oct 06 15:08:42 UTC 2025","passed","Mon Oct 06 15:09:12 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"","4909","Проверка создания нового проекта","Surefire suite","Mon Oct 06 15:09:40 UTC 2025","passed","Mon Oct 06 15:09:45 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","24939","Создание нового проекта без названия","Surefire suite","Mon Oct 06 15:10:12 UTC 2025","failed","Mon Oct 06 15:10:37 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkNewProjectWithoutTitle"
