"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа с валидными логином/паролем","8151","Проверка входа с валидными логином/паролем","Surefire suite","Wed Oct 08 16:45:25 UTC 2025","passed","Wed Oct 08 16:45:33 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthPositive"
"Проверка перехода на страницу создания тест-кейса","15642","Проверка перехода на страницу создания тест-кейса","Surefire suite","Wed Oct 08 16:44:55 UTC 2025","passed","Wed Oct 08 16:45:11 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkOpenPageCreateTestCase"
"Получение всех проектов","119","Получение всех проектов","Surefire suite","Wed Oct 08 16:43:17 UTC 2025","failed","Wed Oct 08 16:43:17 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkGetProject"
"Проверка входа с с невалидным логином и паролем","7237","Проверка входа с с невалидным логином и паролем","Surefire suite","Wed Oct 08 16:45:11 UTC 2025","passed","Wed Oct 08 16:45:18 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegative"
"Создание теста в действующем проекте","25988","Создание теста в действующем проекте","Surefire suite","Wed Oct 08 16:43:17 UTC 2025","passed","Wed Oct 08 16:43:43 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Проверка удаления тест-кейса","11822","Проверка удаления тест-кейса","Surefire suite","Wed Oct 08 16:43:44 UTC 2025","passed","Wed Oct 08 16:43:56 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkDeleteCase"
"","428","getProjectsTest","Surefire suite","Wed Oct 08 16:43:17 UTC 2025","passed","Wed Oct 08 16:43:17 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","getProjectsTest"
"Проверка логина с негативными данными","6672","Проверка логина с негативными данными","Surefire suite","Wed Oct 08 16:45:33 UTC 2025","passed","Wed Oct 08 16:45:40 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Проверка удаления созданного проекта","13269","Проверка удаления созданного проекта","Surefire suite","Wed Oct 08 16:44:32 UTC 2025","passed","Wed Oct 08 16:44:45 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeleteProject"
"Проверка логина с негативными данными","6772","Проверка логина с негативными данными","Surefire suite","Wed Oct 08 16:45:40 UTC 2025","passed","Wed Oct 08 16:45:47 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Изменение тест-кейса","11156","Изменение тест-кейса","Surefire suite","Wed Oct 08 16:44:09 UTC 2025","passed","Wed Oct 08 16:44:20 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkEditCase"
"Создание нового проекта без названия","9300","Создание нового проекта без названия","Surefire suite","Wed Oct 08 16:44:45 UTC 2025","passed","Wed Oct 08 16:44:55 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkNewProjectWithoutTitle"
"Проверка входа с пустым паролем","6396","Проверка входа с пустым паролем","Surefire suite","Wed Oct 08 16:45:18 UTC 2025","passed","Wed Oct 08 16:45:25 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegativeNullPassword"
"Создание проекта","1392","Создание проекта","Surefire suite","Wed Oct 08 16:43:15 UTC 2025","failed","Wed Oct 08 16:43:17 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProject"
"Проверка сообщения о создании тест-кейса","12706","Проверка сообщения о создании тест-кейса","Surefire suite","Wed Oct 08 16:43:56 UTC 2025","passed","Wed Oct 08 16:44:08 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkVerificationMessage"
"","11573","Проверка создания нового проекта","Surefire suite","Wed Oct 08 16:44:20 UTC 2025","passed","Wed Oct 08 16:44:32 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
