"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11794","Проверка создания нового проекта","Surefire suite","Wed Oct 08 13:11:39 UTC 2025","passed","Wed Oct 08 13:11:50 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка сообщения о создании тест-кейса","12873","Проверка сообщения о создании тест-кейса","Surefire suite","Wed Oct 08 13:11:13 UTC 2025","passed","Wed Oct 08 13:11:26 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkVerificationMessage"
"Создание нового проекта без названия","30590","Создание нового проекта без названия","Surefire suite","Wed Oct 08 13:12:05 UTC 2025","failed","Wed Oct 08 13:12:36 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkNewProjectWithoutTitle"
"Изменение тест-кейса","12153","Изменение тест-кейса","Surefire suite","Wed Oct 08 13:11:26 UTC 2025","passed","Wed Oct 08 13:11:38 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkEditCase"
"Проверка удаления тест-кейса","12417","Проверка удаления тест-кейса","Surefire suite","Wed Oct 08 13:11:00 UTC 2025","passed","Wed Oct 08 13:11:13 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkDeleteCase"
"Проверка удаления созданного проекта","13994","Проверка удаления созданного проекта","Surefire suite","Wed Oct 08 13:11:51 UTC 2025","passed","Wed Oct 08 13:12:05 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeleteProject"
"","311","getProjectsTest","Surefire suite","Wed Oct 08 13:10:31 UTC 2025","passed","Wed Oct 08 13:10:32 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","getProjectsTest"
"Проверка входа с пустым паролем","6804","Проверка входа с пустым паролем","Surefire suite","Wed Oct 08 13:13:01 UTC 2025","passed","Wed Oct 08 13:13:08 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegativeNullPassword"
"Проверка логина с негативными данными","6438","Проверка логина с негативными данными","Surefire suite","Wed Oct 08 13:13:18 UTC 2025","passed","Wed Oct 08 13:13:24 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Создание проекта","2204","Создание проекта","Surefire suite","Wed Oct 08 13:10:28 UTC 2025","passed","Wed Oct 08 13:10:31 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProject"
"Проверка логина с негативными данными","6673","Проверка логина с негативными данными","Surefire suite","Wed Oct 08 13:13:25 UTC 2025","passed","Wed Oct 08 13:13:31 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Проверка входа с с невалидным логином и паролем","7005","Проверка входа с с невалидным логином и паролем","Surefire suite","Wed Oct 08 13:12:53 UTC 2025","passed","Wed Oct 08 13:13:00 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegative"
"Проверка входа с валидными логином/паролем","9598","Проверка входа с валидными логином/паролем","Surefire suite","Wed Oct 08 13:13:08 UTC 2025","passed","Wed Oct 08 13:13:17 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthPositive"
"Проверка перехода на страницу создания тест-кейса","16807","Проверка перехода на страницу создания тест-кейса","Surefire suite","Wed Oct 08 13:12:36 UTC 2025","passed","Wed Oct 08 13:12:53 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkOpenPageCreateTestCase"
"Получение всех проектов","719","Получение всех проектов","Surefire suite","Wed Oct 08 13:10:31 UTC 2025","passed","Wed Oct 08 13:10:31 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkGetProject"
"Создание теста в действующем проекте","27763","Создание теста в действующем проекте","Surefire suite","Wed Oct 08 13:10:32 UTC 2025","passed","Wed Oct 08 13:11:00 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
