"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создание теста в действующем проекте","22431","Создание теста в действующем проекте","Surefire suite","Tue Oct 07 16:39:25 UTC 2025","passed","Tue Oct 07 16:39:48 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Изменение тест-кейса","11607","Изменение тест-кейса","Surefire suite","Tue Oct 07 16:40:13 UTC 2025","passed","Tue Oct 07 16:40:24 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkEditCase"
"Создание нового проекта без названия","9879","Создание нового проекта без названия","Surefire suite","Tue Oct 07 16:40:49 UTC 2025","passed","Tue Oct 07 16:40:59 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkNewProjectWithoutTitle"
"Проверка входа с с невалидным логином и паролем","7429","Проверка входа с с невалидным логином и паролем","Surefire suite","Tue Oct 07 16:41:14 UTC 2025","passed","Tue Oct 07 16:41:21 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegative"
"Создание проекта","1445","Создание проекта","Surefire suite","Tue Oct 07 16:39:23 UTC 2025","failed","Tue Oct 07 16:39:24 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProject"
"Проверка входа с валидными логином/паролем","10028","Проверка входа с валидными логином/паролем","Surefire suite","Tue Oct 07 16:41:28 UTC 2025","passed","Tue Oct 07 16:41:38 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthPositive"
"Проверка логина с негативными данными","6744","Проверка логина с негативными данными","Surefire suite","Tue Oct 07 16:41:45 UTC 2025","passed","Tue Oct 07 16:41:52 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Проверка входа с пустым паролем","6836","Проверка входа с пустым паролем","Surefire suite","Tue Oct 07 16:41:21 UTC 2025","passed","Tue Oct 07 16:41:28 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegativeNullPassword"
"Проверка сообщения о создании тест-кейса","12853","Проверка сообщения о создании тест-кейса","Surefire suite","Tue Oct 07 16:40:00 UTC 2025","passed","Tue Oct 07 16:40:12 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkVerificationMessage"
"","12434","Проверка создания нового проекта","Surefire suite","Tue Oct 07 16:40:24 UTC 2025","passed","Tue Oct 07 16:40:37 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверка логина с негативными данными","6891","Проверка логина с негативными данными","Surefire suite","Tue Oct 07 16:41:39 UTC 2025","passed","Tue Oct 07 16:41:45 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Проверка удаления тест-кейса","11733","Проверка удаления тест-кейса","Surefire suite","Tue Oct 07 16:39:48 UTC 2025","passed","Tue Oct 07 16:40:00 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkDeleteCase"
"Проверка перехода на страницу создания тест-кейса","15166","Проверка перехода на страницу создания тест-кейса","Surefire suite","Tue Oct 07 16:40:59 UTC 2025","passed","Tue Oct 07 16:41:14 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkOpenPageCreateTestCase"
"Проверка удаления созданного проекта","11891","Проверка удаления созданного проекта","Surefire suite","Tue Oct 07 16:40:37 UTC 2025","passed","Tue Oct 07 16:40:49 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeleteProject"
