"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка логина с негативными данными","6709","Проверка логина с негативными данными","Surefire suite","Tue Oct 07 16:51:30 UTC 2025","passed","Tue Oct 07 16:51:37 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
"Проверка входа с с невалидным логином и паролем","8227","Проверка входа с с невалидным логином и паролем","Surefire suite","Tue Oct 07 16:50:58 UTC 2025","passed","Tue Oct 07 16:51:06 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegative"
"","13162","Проверка создания нового проекта","Surefire suite","Tue Oct 07 16:50:04 UTC 2025","passed","Tue Oct 07 16:50:17 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Создание теста в действующем проекте","22584","Создание теста в действующем проекте","Surefire suite","Tue Oct 07 16:48:59 UTC 2025","passed","Tue Oct 07 16:49:22 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkCreateCase"
"Изменение тест-кейса","17296","Изменение тест-кейса","Surefire suite","Tue Oct 07 16:49:47 UTC 2025","passed","Tue Oct 07 16:50:04 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkEditCase"
"Проверка входа с валидными логином/паролем","10422","Проверка входа с валидными логином/паролем","Surefire suite","Tue Oct 07 16:51:13 UTC 2025","passed","Tue Oct 07 16:51:23 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthPositive"
"Проверка перехода на страницу создания тест-кейса","18435","Проверка перехода на страницу создания тест-кейса","Surefire suite","Tue Oct 07 16:50:40 UTC 2025","passed","Tue Oct 07 16:50:58 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkOpenPageCreateTestCase"
"Проверка удаления тест-кейса","11905","Проверка удаления тест-кейса","Surefire suite","Tue Oct 07 16:49:22 UTC 2025","passed","Tue Oct 07 16:49:34 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkDeleteCase"
"Проверка входа с пустым паролем","6369","Проверка входа с пустым паролем","Surefire suite","Tue Oct 07 16:51:07 UTC 2025","passed","Tue Oct 07 16:51:13 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkAuthNegativeNullPassword"
"Проверка сообщения о создании тест-кейса","13044","Проверка сообщения о создании тест-кейса","Surefire suite","Tue Oct 07 16:49:34 UTC 2025","passed","Tue Oct 07 16:49:47 UTC 2025","tests.ui.CaseTest","Surefire test","tests.ui.CaseTest","checkVerificationMessage"
"Создание проекта","1390","Создание проекта","Surefire suite","Tue Oct 07 16:48:57 UTC 2025","failed","Tue Oct 07 16:48:58 UTC 2025","tests.api.ProjectTest","Surefire test","tests.api.ProjectTest","checkCreateProject"
"Проверка удаления созданного проекта","11999","Проверка удаления созданного проекта","Surefire suite","Tue Oct 07 16:50:17 UTC 2025","passed","Tue Oct 07 16:50:29 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeleteProject"
"Создание нового проекта без названия","10143","Создание нового проекта без названия","Surefire suite","Tue Oct 07 16:50:29 UTC 2025","passed","Tue Oct 07 16:50:40 UTC 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkNewProjectWithoutTitle"
"Проверка логина с негативными данными","6711","Проверка логина с негативными данными","Surefire suite","Tue Oct 07 16:51:24 UTC 2025","passed","Tue Oct 07 16:51:30 UTC 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","paramNegativeTest"
